distance,i,spectrumID
16.43528912,448,spec-6713-56402-0294.fits
18.31699014,589,spec-5436-56015-0440.fits
18.36050585,1768,spec-6489-56329-0866.fits
18.37845513,991,spec-6303-56539-0090.fits
18.40270895,185,spec-6452-56366-0270.fits
18.40852728,1257,spec-6052-56092-0294.fits
18.41131913,366,spec-5302-55896-0513.fits
18.75679247,1126,spec-4058-55358-0100.fits
18.79357958,2354,spec-4690-55653-0140.fits
18.88406695,1526,spec-5783-56017-0903.fits
18.885388,29,spec-3804-55267-0936.fits
19.00234862,754,spec-6184-56267-0854.fits
19.08766049,72,spec-3679-55209-0232.fits
19.09349331,1080,spec-5172-56071-0705.fits
19.19168506,1164,spec-4221-55443-0556.fits
19.24376056,176,spec-4783-55652-0180.fits
19.26636064,356,spec-3866-55623-0134.fits
19.29378507,535,spec-5461-56018-0838.fits
19.34539364,878,spec-4837-55707-0560.fits
19.38226345,856,spec-5320-55999-0680.fits
19.4888122,359,spec-6673-56419-0318.fits
19.57842191,405,spec-4452-55536-0019.fits
19.63024889,1145,spec-5768-56017-0792.fits
19.66297299,757,spec-4766-55677-0472.fits
19.69234917,1440,spec-4211-55446-0538.fits
19.70106316,175,spec-5361-55973-0680.fits
19.70269683,399,spec-3757-55508-0408.fits
19.7254634,149,spec-6164-56181-0678.fits
19.72706928,980,spec-4375-55889-0334.fits
19.74119393,1186,spec-3586-55181-0634.fits
19.74508905,682,spec-6411-56331-0302.fits
19.75213825,220,spec-4227-55481-0937.fits
19.76858162,354,spec-6873-56541-0624.fits
19.77122428,1166,spec-6055-56102-0884.fits
19.78002049,462,spec-6838-56429-0064.fits
19.78544287,2071,spec-4860-55691-0180.fits
19.78949979,238,spec-4979-56045-0796.fits
19.80180782,1193,spec-5771-56011-0362.fits
19.80611585,690,spec-4227-55481-0027.fits
19.81001243,729,spec-4834-55685-0798.fits
19.84678624,64,spec-7257-56658-0345.fits
19.86241656,896,spec-6663-56338-0946.fits
19.88883778,980,spec-7081-56684-0350.fits
19.88956701,386,spec-6664-56383-0936.fits
19.94008044,858,spec-4889-55709-0922.fits
19.96034635,1139,spec-4538-55860-0742.fits
19.96546566,1103,spec-3769-55240-0558.fits
19.97780025,1086,spec-5165-56063-0877.fits
19.9851581,296,spec-5368-56001-0828.fits
19.9860129,1807,spec-4242-55476-0852.fits
19.99531433,104,spec-3793-55214-0542.fits
20.06537336,1070,spec-5418-56037-0940.fits
20.09394432,277,spec-6720-56390-0594.fits
20.11995236,541,spec-5306-55926-0962.fits
20.13237392,256,spec-4444-55538-0900.fits
20.13372904,337,spec-6836-56443-0752.fits
20.14807969,252,spec-5475-56011-0394.fits
20.15865374,1899,spec-5164-56067-0894.fits
20.18582316,666,spec-7400-57134-0696.fits
20.21808131,172,spec-3825-55533-0358.fits
20.24697621,750,spec-4192-55469-0350.fits
20.24949627,1111,spec-4839-55703-0086.fits
20.25232841,344,spec-7325-56717-0292.fits
20.25926967,1038,spec-5420-56009-0709.fits
20.27476366,454,spec-4864-55680-0360.fits
20.27945928,443,spec-6409-56306-0204.fits
20.28480169,666,spec-7256-56658-0397.fits
20.29783317,766,spec-5407-55926-0447.fits
20.30907048,206,spec-6049-56091-0184.fits
20.30912394,894,spec-5481-55983-0452.fits
20.3110811,513,spec-5957-56210-0880.fits
20.31155984,871,spec-6665-56390-0442.fits
20.31471397,1044,spec-7421-57159-0614.fits
20.31970933,69,spec-7254-56625-0443.fits
20.33237886,1323,spec-5772-56003-0842.fits
20.33637335,1136,spec-4006-55328-0784.fits
20.34093266,926,spec-7449-56740-0158.fits
20.34946212,653,spec-6446-56363-0156.fits
20.3510527,201,spec-6746-56386-0120.fits
20.35978871,70,spec-7253-56598-0446.fits
20.371448,563,spec-6014-56072-0776.fits
20.3726443,1563,spec-7155-56629-0104.fits
20.38312664,758,spec-6795-56425-0654.fits
20.39926135,1037,spec-5985-56089-0260.fits
20.4001771,248,spec-6821-56396-0100.fits
20.43169351,60,spec-6783-56284-0978.fits
20.43825661,834,spec-5466-56033-0088.fits
20.43841393,224,spec-4238-55455-0010.fits
20.44466372,604,spec-6470-56334-0318.fits
20.45136789,69,spec-7254-56625-0488.fits
20.45930162,307,spec-3942-55338-0411.fits
20.4623754,165,spec-7101-56659-0122.fits
20.46638887,71,spec-7253-56598-0287.fits
20.46874203,799,spec-4226-55475-0663.fits
20.46915879,69,spec-7254-56625-0409.fits
20.47684373,1432,spec-5477-56030-0974.fits
20.47791421,356,spec-7151-56598-0796.fits
20.48446542,352,spec-5370-56003-0434.fits
20.48764933,451,spec-5776-56010-0334.fits
20.49333486,2327,spec-6388-56309-0582.fits
