Gene	name2	Chr	Strand	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	A_4_long_exp	A_4_short_exp	A_4_PDUI	A_5_long_exp	A_5_short_exp	A_5_PDUI	A_6_long_exp	A_6_short_exp	A_6_PDUI	A_7_long_exp	A_7_short_exp	A_7_PDUI	A_8_long_exp	A_8_short_exp	A_8_PDUI	A_9_long_exp	A_9_short_exp	A_9_PDUI	A_10_long_exp	A_10_short_exp	A_10_PDUI	A_11_long_exp	A_11_short_exp	A_11_PDUI	A_12_long_exp	A_12_short_exp	A_12_PDUI	A_13_long_exp	A_13_short_exp	A_13_PDUI	A_14_long_exp	A_14_short_exp	A_14_PDUI	A_15_long_exp	A_15_short_exp	A_15_PDUI	A_16_long_exp	A_16_short_exp	A_16_PDUI	A_17_long_exp	A_17_short_exp	A_17_PDUI	A_18_long_exp	A_18_short_exp	A_18_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	B_4_long_exp	B_4_short_exp	B_4_PDUI	B_5_long_exp	B_5_short_exp	B_5_PDUI	B_6_long_exp	B_6_short_exp	B_6_PDUI	B_7_long_exp	B_7_short_exp	B_7_PDUI	B_8_long_exp	B_8_short_exp	B_8_PDUI	B_9_long_exp	B_9_short_exp	B_9_PDUI	B_10_long_exp	B_10_short_exp	B_10_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
XR_001782922.1	Gm33272	chrY	+	6	90806731	chrY:90806530-90806846	359.1	0	1	784.9	2.56	1	372.57	0	1	361.77	0.81	1	176.01	0.24	1	3587.97	8.73	1	1257.71	0.31	1	534.05	0	1	3229.5	5.9	1	2192.57	1.52	1	3837.33	5.03	1	3437.14	11.38	1	210.85	0.5	1	105.45	0	1	47.18	0	1	2430.3	1.62	1	537.38	0.37	1	2207.34	0	1	152.94	0	1	1188.93	0	1	35.64	0	1	69.44	0	1	73.52	0	1	223.67	0.55	1	1878.35	0	1	300.13	0.75	1	1213.33	2.26	1	784.01	2.15	1	1	1	0	1	1	N
XR_001782921.1	Gm33272	chrY	+	6.9	90806705	chrY:90806499-90806846	359.36	0	1	784.5	3.94	1	372.57	0	1	361.77	0.79	1	176.08	0.14	1	3591.89	2.74	1	1257.71	1.39	1	534.05	0	1	3230.56	6.22	1	2193.57	0.15	1	3841.21	0	1	3439.22	9.94	1	210.85	0.63	1	105.45	0	1	47.18	0	1	2430.3	2.9	1	537.55	0.1	1	2207.34	0	1	152.94	0	1	1188.36	0	1	35.71	0	1	69.44	0	1	73.52	0	1	223.7	0.5	1	1878.35	0	1	300.13	0.98	1	1213.33	3.07	1	784.01	1.77	1	1	1	0	1	1	N
XM_011247544.1	Pja1	chrX	-	5467.4	99468164	chrX:99466110-99468600	145.94	87.25	0.63	221.08	95.39	0.7	136.86	15.9	0.9	111.38	43.16	0.72	47.2	14.18	0.77	1159.48	301.56	0.79	679.31	45.68	0.94	274.5	57.21	0.83	483.75	209.69	0.7	295.38	34.7	0.89	813.43	163.71	0.83	742.76	115.7	0.87	43.79	12.78	0.77	NA	NA	NA	NA	NA	NA	381.15	129.8	0.75	68.18	19.02	0.78	1103.38	312.98	0.78	112.25	35.08	0.76	485	88.41	0.85	NA	NA	NA	43.21	5.92	0.88	30.57	3.94	0.89	126.53	25.73	0.83	285.24	39.72	0.88	154.53	50.26	0.75	365.1	78.62	0.82	253.72	85.01	0.75	0.790625	0.823333333	-0.032708333	0.625588314	1	N
XM_011247546.1	Pja1	chrX	-	3662.3	99466525	chrX:99466110-99467582	85.38	71.67	0.54	131.14	107.8	0.55	121.68	21.93	0.85	84.19	37.72	0.69	38.26	12.37	0.76	627.18	665.38	0.49	478.6	272.81	0.64	183.97	116.86	0.61	412.03	97.93	0.81	228.07	98.87	0.7	620.42	257.99	0.71	598.75	194.86	0.75	39.89	7.5	0.84	NA	NA	NA	NA	NA	NA	421.88	0.23	1	51.05	23.95	0.68	907.89	317.08	0.74	61.75	51	0.55	344.84	180.85	0.66	NA	NA	NA	34.36	11.79	0.74	20.87	11.26	0.65	89.5	40.87	0.69	217.35	88.39	0.71	122.76	49.64	0.71	301.14	112.25	0.73	168.28	94.55	0.64	0.71	0.675555556	0.034444444	0.92995895	1	N
NM_001290555.1	Pja1	chrX	-	7090.6	99466537	chrX:99465734-99468600	76.28	87.75	0.47	136.54	103.82	0.57	116.28	23.97	0.83	77.7	42.94	0.64	35.32	15.1	0.7	591.33	635.92	0.48	425.49	264.46	0.62	163.99	123.41	0.57	374.45	150.75	0.71	214.6	87.76	0.71	550.09	297.38	0.65	544.49	221.91	0.71	36.27	10.19	0.78	NA	NA	NA	NA	NA	NA	364.46	47.13	0.89	49.36	23.17	0.68	847.76	330.36	0.72	55.05	64.38	0.46	344.5	158.41	0.69	NA	NA	NA	32.2	12.3	0.72	18.4	12.77	0.59	86.86	44.89	0.66	213.03	80.5	0.73	107.88	57.62	0.65	277.93	103.24	0.73	163.4	108.05	0.6	0.670625	0.647777778	0.022847222	0.661865332	1	N
NM_001083110.2	Pja1	chrX	-	6758.5	99466499	chrX:99465734-99468314	67.13	82.74	0.45	126.57	99.79	0.56	112.39	26.68	0.81	71.26	43.35	0.62	30.79	17.96	0.63	522.25	672.2	0.44	378.77	306.3	0.55	144.28	136.24	0.51	342.72	155.79	0.69	201.23	97.91	0.67	484.88	341.12	0.59	492.81	260.46	0.65	32.59	12.69	0.72	NA	NA	NA	NA	NA	NA	316.06	78.43	0.8	45.55	24.76	0.65	734.08	406.27	0.64	51.84	61.54	0.46	311.8	180.62	0.63	NA	NA	NA	30.87	13.14	0.7	17.45	13.12	0.57	79.07	49.61	0.61	189.63	99.34	0.66	100.37	59.7	0.63	252.07	120.53	0.68	149.03	108.76	0.58	0.62375	0.613333333	0.010416667	0.545323751	1	N
NM_001290556.1	Pja1	chrX	-	4001.6	99466499	chrX:99465734-99467582	57.54	98.06	0.37	115.44	121.59	0.49	99.39	44.47	0.69	62.6	58.49	0.52	27.51	23.03	0.54	482.2	797.88	0.38	351.52	396.59	0.47	129.62	169.99	0.43	301.92	205.91	0.59	179.92	145.36	0.55	425.4	449.65	0.49	423.35	366.87	0.54	28.1	19.23	0.59	NA	NA	NA	NA	NA	NA	265.19	157.73	0.63	39.24	35.41	0.53	626.57	596.17	0.51	46.38	65.58	0.41	259.59	263.07	0.5	NA	NA	NA	28.13	17.98	0.61	14.4	17.4	0.45	70.33	59.31	0.54	152.75	151.8	0.5	90.91	80.68	0.53	217.15	194.55	0.53	128.24	133.37	0.49	0.52	0.506666667	0.013333333	0.869569703	1	N
NM_008853.3	Pja1	chrX	-	3955	99466499	chrX:99465734-99467573	57.41	98.61	0.37	115.24	122.04	0.49	99.24	44.81	0.69	62.55	58.66	0.52	27.46	23.18	0.54	481.34	801.04	0.38	350.93	398.6	0.47	129.37	170.7	0.43	301.41	207.74	0.59	179.63	146.02	0.55	424.46	451.61	0.48	422.49	369.09	0.53	28.03	19.38	0.59	NA	NA	NA	NA	NA	NA	264.53	159.33	0.62	39.16	35.59	0.52	625.53	600.02	0.51	46.28	65.67	0.41	259.05	264.05	0.5	NA	NA	NA	28.04	18.16	0.61	14.37	17.43	0.45	70.21	59.49	0.54	152.41	152.28	0.5	90.66	81.36	0.53	216.56	196.66	0.52	127.83	134.26	0.49	0.5175	0.505555556	0.011944444	0.80581988	1	N
NM_207633.2	Yipf6	chrX	+	6783.9	98945932	chrX:98944873-98949021	54.54	22.51	0.71	93.21	39.54	0.7	78.64	23.11	0.77	46.29	15.73	0.75	NA	NA	NA	625.92	332.75	0.65	320.88	198.6	0.62	91.72	46.76	0.66	259.72	96.2	0.73	167.4	85.85	0.66	380.77	145.17	0.72	386.75	154.43	0.71	24.15	13.67	0.64	NA	NA	NA	NA	NA	NA	225.69	93.08	0.71	33.08	11.03	0.75	537.21	273.6	0.66	38.68	13.21	0.75	207.86	107.71	0.66	NA	NA	NA	24.26	7.08	0.77	NA	NA	NA	53.36	24.26	0.69	130.95	42.11	0.76	74.61	41.45	0.64	152.35	87.19	0.64	126.27	65.74	0.66	0.696	0.69625	-0.00025	1	1	N
XM_006528337.2	Yipf6	chrX	+	6775.3	98945932	chrX:98944873-98948967	54.84	22.2	0.71	93.81	38.93	0.71	79.07	22.67	0.78	46.54	15.48	0.75	NA	NA	NA	631.43	327.24	0.66	322.44	197.04	0.62	92.19	46.29	0.67	261.66	94.27	0.74	167.78	85.48	0.66	384.18	141.76	0.73	388.25	152.93	0.72	24.27	13.56	0.64	NA	NA	NA	NA	NA	NA	227.51	91.26	0.71	33.1	11.01	0.75	541.11	269.7	0.67	38.73	13.16	0.75	209.12	106.45	0.66	NA	NA	NA	24.32	7.01	0.78	NA	NA	NA	53.96	23.66	0.7	131.44	41.62	0.76	75.29	40.77	0.65	153.95	85.59	0.64	127.21	64.79	0.66	0.701333333	0.7	0.001333333	0.915097203	1	N
